T,mbatch,time_cost,best,lowerbound
2,1,2.276844024658203,17788.0,16234.0
2,1,2.2949092388153076,17833.0,16234.0
2,1,2.2897143363952637,17658.0,16233.0
2,1,2.2650623321533203,17679.0,16235.0
2,1,2.2712953090667725,17567.0,16233.0
2,1,2.2684528827667236,17567.0,16234.0
2,1,2.2736430168151855,17844.0,16236.0
2,1,2.2430179119110107,17655.0,16233.0
2,1,2.2697794437408447,17567.0,16234.0
2,1,2.2660346031188965,17567.0,16233.0
2,2,2.4018807411193848,21437.0,19436.0
2,2,2.4031224250793457,21593.0,19436.0
2,2,2.392535924911499,21094.0,19436.0
2,2,2.418048858642578,21686.0,19436.0
2,2,2.3980274200439453,21344.0,19436.0
2,2,2.4361634254455566,21720.0,19436.0
2,2,2.408406972885132,21685.0,19436.0
2,2,2.394413709640503,21094.0,19436.0
2,2,2.402587890625,21686.0,19436.0
2,2,2.397341728210449,21437.0,19436.0
2,3,2.533182144165039,25802.0,23156.0
2,3,2.539174795150757,26290.0,23156.0
2,3,2.5283820629119873,26290.0,23156.0
2,3,2.5253446102142334,26290.0,23156.0
2,3,2.543794870376587,26289.0,23156.0
2,3,2.5273866653442383,25779.0,23156.0
2,3,2.5580050945281982,26290.0,23156.0
2,3,2.5469532012939453,25802.0,23156.0
2,3,2.5441811084747314,26290.0,23156.0
2,3,2.5403621196746826,26290.0,23156.0
2,4,2.686403512954712,28166.0,24690.0
2,4,2.689530849456787,28929.0,24690.0
2,4,2.69358491897583,28844.0,24690.0
2,4,2.5823299884796143,28818.0,24690.0
2,4,2.662482976913452,28579.0,24690.0
2,4,2.623465061187744,28579.0,24690.0
2,4,2.592885971069336,28166.0,24690.0
2,4,2.5991642475128174,28579.0,24690.0
2,4,2.68257999420166,28749.0,24690.0
2,4,2.6902167797088623,28818.0,24690.0
2,5,2.8269402980804443,30053.0,25235.0
2,5,2.8413734436035156,30300.0,25235.0
2,5,2.8311543464660645,30043.0,25235.0
2,5,2.8633158206939697,30043.0,25235.0
2,5,2.8905739784240723,30382.0,25235.0
2,5,2.809366464614868,30053.0,25235.0
2,5,2.8168628215789795,30053.0,25235.0
2,5,2.8152997493743896,30382.0,25235.0
2,5,2.865888833999634,30053.0,25235.0
2,5,2.8490676879882812,30053.0,25235.0
2,6,2.979262113571167,29520.0,25895.0
2,6,2.9893734455108643,29520.0,25895.0
2,6,2.989955425262451,29678.0,25895.0
2,6,2.9718618392944336,29387.0,25895.0
2,6,3.008974075317383,29678.0,25895.0
2,6,2.958613872528076,29520.0,25895.0
2,6,2.9801182746887207,29520.0,25895.0
2,6,2.9408767223358154,29678.0,25895.0
2,6,2.9803779125213623,29678.0,25895.0
2,6,3.0345699787139893,29678.0,25895.0
